node_id,timestamp,x,y
1,2020-06-26 11:40:20.645,1475,-102
1,2020-06-26 11:40:29.645,1472,-107
1,2020-06-26 11:40:39.645,1482,-119
1,2020-06-26 11:40:58.645,1477,-107
1,2020-06-26 11:41:08.645,1468,-123
1,2020-06-26 11:41:17.645,1478,-104
1,2020-06-26 11:41:36.645,1473,-98
1,2020-06-26 11:41:56.645,1507,-102
1,2020-06-26 11:42:15.645,1465,-105
1,2020-06-26 11:42:25.645,1472,-113
1,2020-06-26 11:42:44.645,1475,-114
1,2020-06-26 11:42:54.645,1483,-135
1,2020-06-26 11:43:03.646,1464,-120
1,2020-06-26 11:43:13.645,1485,-131
1,2020-06-26 11:43:33.645,1474,-128
1,2020-06-26 11:43:42.645,1471,-120
1,2020-06-26 11:44:01.645,1469,-116
1,2020-06-26 11:44:11.645,1474,-124
1,2020-06-26 11:44:30.645,1478,-130
1,2020-06-26 11:44:40.645,1479,-118
1,2020-06-26 11:44:50.645,1505,-98
1,2020-06-26 11:44:59.645,1478,-127
1,2020-06-26 11:45:09.645,1468,-118
1,2020-06-26 11:45:19.645,1477,-135
1,2020-06-26 11:45:28.645,1470,-116
1,2020-06-26 11:45:38.645,1476,-109
1,2020-06-26 11:45:48.645,1481,-121
1,2020-06-26 11:45:57.645,1477,-127
1,2020-06-26 11:46:07.645,1468,-125
1,2020-06-26 11:46:17.645,1478,-116
1,2020-06-26 11:46:26.645,1464,-125
1,2020-06-26 11:46:36.645,1463,-120
1,2020-06-26 11:46:45.645,1468,-127
1,2020-06-26 11:46:55.645,1474,-125
1,2020-06-26 11:47:05.645,1471,-113
1,2020-06-26 11:47:14.645,1478,-142
1,2020-06-26 11:47:24.645,1484,-118
1,2020-06-26 11:47:34.645,1464,-125
1,2020-06-26 11:47:43.645,1473,-126
1,2020-06-26 11:47:53.645,1464,-121
1,2020-06-26 11:48:03.645,1471,-120
1,2020-06-26 11:48:13.645,1476,-131
1,2020-06-26 11:48:22.645,1473,-116
1,2020-06-26 11:48:32.645,1479,-119
1,2020-06-26 11:48:42.645,1470,-134
1,2020-06-26 11:48:51.645,1474,-128
1,2020-06-26 11:49:01.645,1462,-117
1,2020-06-26 11:49:11.645,1473,-126
1,2020-06-26 11:49:21.645,1466,-124
1,2020-06-26 11:49:31.645,1484,-128
1,2020-06-26 11:49:40.645,1490,-126
1,2020-06-26 11:49:50.645,1477,-111
